,decoded,encoded
540,35,6855
541,91,43255
542,42,9690
543,67,23815
544,48,12510
545,26,3930
546,81,34455
547,58,18010
548,3,135
549,35,6855
550,79,32815
551,21,2655
552,95,47055
553,42,9690
554,0,30
555,99,51015
556,79,32815
557,50,13530
558,78,32010
559,47,12015
560,32,5790
561,51,14055
562,1,55
563,49,13015
564,74,28890
565,16,1630
566,76,30430
567,34,6490
568,93,45135
569,54,15690
570,68,24510
571,33,6135
572,56,16830
573,91,43255
574,30,5130
575,56,16830
576,1,55
577,72,27390
578,69,25215
579,53,15135
580,59,18615
581,36,7230
582,70,25930
583,41,9255
584,99,51015
585,73,28135
586,11,855
587,33,6135
588,41,9255
589,25,3655
590,52,14590
591,83,36135
592,9,615
593,60,19230
594,4,190
595,64,21790
596,50,13530
597,23,3135
598,40,8830
599,85,37855
600,29,4815
601,3,135
602,79,32815
603,72,27390
604,28,4510
605,45,11055
606,32,5790
607,7,415
608,46,11530
609,88,40510
610,20,2430
611,68,24510
612,46,11530
613,5,255
614,33,6135
615,29,4815
616,39,8415
617,47,12015
618,95,47055
619,84,36990
620,97,49015
621,0,30
622,91,43255
623,49,13015
624,95,47055
625,56,16830
626,55,16255
627,3,135
628,74,28890
629,70,25930
630,30,5130
631,37,7615
632,68,24510
633,65,22455
634,98,50010
635,41,9255
636,65,22455
637,19,2215
638,7,415
639,93,45135
640,85,37855
641,96,48030
642,12,990
643,13,1135
644,61,19855
645,35,6855
646,84,36990
647,74,28890
648,8,510
649,52,14590
650,87,39615
651,54,15690
652,48,12510
653,28,4510
654,80,33630
655,21,2655
656,21,2655
657,51,14055
658,24,3390
659,52,14590
660,73,28135
661,98,50010
662,84,36990
663,78,32010
664,46,11530
665,96,48030
666,23,3135
667,46,11530
668,18,2010
669,14,1290
670,30,5130
671,58,18010
672,2,90
673,73,28135
674,87,39615
675,49,13015
676,15,1455
677,63,21135
678,80,33630
679,25,3655
680,75,29655
681,87,39615
682,79,32815
683,90,42330
684,34,6490
685,89,41415
686,97,49015
687,21,2655
688,14,1290
689,1,55
690,45,11055
691,0,30
692,11,855
693,1,55
694,71,26655
695,29,4815
696,97,49015
697,82,35290
698,28,4510
699,90,42330
700,11,855
701,62,20490
702,35,6855
703,54,15690
704,39,8415
705,78,32010
706,22,2890
707,2,90
708,71,26655
709,84,36990
710,66,23130
711,19,2215
712,98,50010
713,19,2215
714,20,2430
715,74,28890
716,41,9255
717,12,990
718,84,36990
719,60,19230
720,19,2215
721,73,28135
722,76,30430
723,78,32010
724,94,46090
725,41,9255
726,58,18010
727,9,615
728,63,21135
729,0,30
730,92,44190
731,93,45135
732,30,5130
733,93,45135
734,63,21135
735,27,4215
736,43,10135
737,13,1135
738,61,19855
739,60,19230
740,93,45135
741,68,24510
742,93,45135
743,7,415
744,26,3930
745,30,5130
746,40,8830
747,64,21790
748,15,1455
749,56,16830
750,17,1815
751,67,23815
752,30,5130
753,32,5790
754,76,30430
755,55,16255
756,10,730
757,87,39615
758,67,23815
759,33,6135
760,7,415
761,52,14590
762,14,1290
763,60,19230
764,92,44190
765,3,135
766,28,4510
767,24,3390
768,10,730
769,1,55
770,57,17415
771,100,52030
772,15,1455
773,4,190
774,60,19230
775,17,1815
776,36,7230
777,19,2215
778,89,41415
779,80,33630
780,76,30430
781,38,8010
782,68,24510
783,50,13530
784,65,22455
785,54,15690
786,35,6855
787,48,12510
788,22,2890
789,49,13015
790,18,2010
791,96,48030
792,7,415
793,64,21790
794,27,4215
795,72,27390
796,16,1630
797,88,40510
798,94,46090
799,61,19855
800,56,16830
801,75,29655
802,96,48030
803,96,48030
804,33,6135
805,35,6855
806,74,28890
807,75,29655
808,76,30430
809,80,33630
810,97,49015
811,96,48030
812,97,49015
813,43,10135
814,88,40510
815,76,30430
816,82,35290
817,2,90
818,89,41415
819,43,10135
820,58,18010
821,59,18615
822,79,32815
823,31,5455
824,10,730
825,6,330
826,18,2010
827,13,1135
828,35,6855
829,2,90
830,42,9690
831,84,36990
832,40,8830
833,42,9690
834,64,21790
835,12,990
836,97,49015
837,98,50010
838,6,330
839,100,52030
840,50,13530
841,67,23815
842,57,17415
843,93,45135
844,78,32010
845,75,29655
846,44,10590
847,5,255
848,72,27390
849,5,255
850,90,42330
851,33,6135
852,59,18615
853,5,255
854,68,24510
855,75,29655
856,23,3135
857,26,3930
858,38,8010
859,6,330
860,60,19230
861,57,17415
862,53,15135
863,84,36990
864,30,5130
865,72,27390
866,7,415
867,65,22455
868,23,3135
869,48,12510
870,97,49015
871,42,9690
872,12,990
873,49,13015
874,12,990
875,80,33630
876,34,6490
877,27,4215
878,0,30
879,78,32010
880,39,8415
881,58,18010
882,58,18010
883,75,29655
884,28,4510
885,49,13015
886,36,7230
887,8,510
888,4,190
889,30,5130
890,45,11055
891,30,5130
892,40,8830
893,45,11055
894,66,23130
895,84,36990
896,100,52030
897,87,39615
898,45,11055
899,9,615
900,68,24510
901,55,16255
902,94,46090
903,46,11530
904,54,15690
905,42,9690
906,94,46090
907,97,49015
908,13,1135
909,26,3930
910,38,8010
911,69,25215
912,73,28135
913,12,990
914,68,24510
915,27,4215
916,38,8010
917,95,47055
918,96,48030
919,19,2215
920,60,19230
921,97,49015
922,89,41415
923,57,17415
924,77,31215
925,52,14590
926,36,7230
927,44,10590
928,70,25930
929,100,52030
930,62,20490
931,4,190
932,20,2430
933,49,13015
934,30,5130
935,34,6490
936,53,15135
937,55,16255
938,23,3135
939,63,21135
940,91,43255
941,98,50010
942,0,30
943,58,18010
944,86,38730
945,35,6855
946,31,5455
947,68,24510
948,72,27390
949,58,18010
950,26,3930
951,77,31215
952,89,41415
953,66,23130
954,34,6490
955,48,12510
956,63,21135
957,26,3930
958,15,1455
959,24,3390
960,55,16255
961,34,6490
962,69,25215
963,45,11055
964,98,50010
965,51,14055
966,94,46090
967,21,2655
968,25,3655
969,39,8415
970,85,37855
971,61,19855
972,45,11055
973,68,24510
974,69,25215
975,94,46090
976,4,190
977,0,30
978,9,615
979,4,190
980,89,41415
981,20,2430
982,30,5130
983,80,33630
984,12,990
985,87,39615
986,98,50010
987,100,52030
988,50,13530
989,28,4510
990,77,31215
991,99,51015
992,92,44190
993,92,44190
994,43,10135
995,40,8830
996,58,18010
997,62,20490
998,45,11055
999,10,730
1000,47,12015
1001,16,1630
1002,51,14055
1003,91,43255
1004,20,2430
1005,83,36135
1006,81,34455
1007,83,36135
1008,52,14590
1009,4,190
1010,10,730
1011,97,49015
1012,44,10590
1013,59,18615
1014,9,615
1015,37,7615
1016,82,35290
1017,41,9255
1018,76,30430
1019,38,8010
1020,46,11530
1021,65,22455
1022,29,4815
1023,29,4815
1024,18,2010
1025,41,9255
1026,50,13530
1027,8,510
1028,55,16255
1029,27,4215
1030,69,25215
1031,82,35290
1032,61,19855
1033,12,990
1034,56,16830
1035,90,42330
1036,81,34455
1037,15,1455
1038,78,32010
1039,23,3135
1040,62,20490
1041,0,30
1042,69,25215
1043,45,11055
1044,39,8415
1045,64,21790
1046,44,10590
1047,80,33630
1048,80,33630
1049,89,41415
1050,69,25215
1051,55,16255
1052,91,43255
1053,60,19230
1054,66,23130
1055,88,40510
1056,43,10135
1057,58,18010
1058,58,18010
1059,13,1135
1060,34,6490
1061,76,30430
1062,27,4215
1063,100,52030
1064,82,35290
1065,65,22455
1066,88,40510
1067,66,23130
1068,92,44190
1069,52,14590
1070,38,8010
1071,2,90
1072,6,330
1073,34,6490
1074,17,1815
1075,35,6855
1076,5,255
1077,91,43255
1078,25,3655
1079,63,21135
1080,74,28890
1081,69,25215
1082,16,1630
1083,53,15135
1084,36,7230
1085,65,22455
1086,16,1630
1087,32,5790
1088,33,6135
1089,79,32815
1090,10,730
1091,75,29655
1092,3,135
1093,73,28135
1094,69,25215
1095,5,255
1096,38,8010
1097,91,43255
1098,31,5455
1099,53,15135
1100,72,27390
1101,61,19855
1102,43,10135
1103,61,19855
1104,67,23815
1105,45,11055
1106,68,24510
1107,80,33630
1108,16,1630
1109,47,12015
1110,58,18010
1111,20,2430
1112,45,11055
1113,10,730
1114,90,42330
1115,14,1290
1116,78,32010
1117,76,30430
1118,86,38730
1119,99,51015
1120,64,21790
1121,70,25930
1122,88,40510
1123,87,39615
1124,90,42330
1125,66,23130
1126,8,510
1127,72,27390
1128,93,45135
1129,73,28135
1130,18,2010
1131,49,13015
1132,45,11055
1133,54,15690
1134,95,47055
1135,8,510
1136,30,5130
1137,49,13015
1138,37,7615
1139,29,4815
1140,78,32010
1141,43,10135
1142,91,43255
1143,38,8010
1144,59,18615
1145,98,50010
1146,6,330
1147,95,47055
1148,71,26655
1149,31,5455
1150,84,36990
1151,20,2430
1152,5,255
1153,99,51015
1154,60,19230
1155,66,23130
1156,70,25930
1157,27,4215
1158,2,90
1159,67,23815
1160,80,33630
1161,2,90
1162,88,40510
1163,67,23815
1164,84,36990
1165,11,855
1166,6,330
1167,88,40510
1168,69,25215
1169,93,45135
1170,63,21135
1171,95,47055
1172,83,36135
1173,17,1815
1174,51,14055
1175,69,25215
1176,7,415
1177,54,15690
1178,43,10135
1179,20,2430
1180,82,35290
1181,90,42330
1182,10,730
1183,8,510
1184,10,730
1185,61,19855
1186,66,23130
1187,99,51015
1188,93,45135
1189,37,7615
1190,84,36990
1191,92,44190
1192,96,48030
1193,57,17415
1194,70,25930
1195,10,730
1196,64,21790
1197,11,855
1198,39,8415
1199,18,2010
1200,40,8830
1201,28,4510
1202,87,39615
1203,60,19230
1204,23,3135
1205,21,2655
1206,53,15135
1207,29,4815
1208,45,11055
1209,46,11530
1210,66,23130
1211,76,30430
1212,91,43255
1213,12,990
1214,45,11055
1215,98,50010
1216,82,35290
1217,78,32010
1218,9,615
1219,76,30430
1220,14,1290
1221,6,330
1222,5,255
1223,18,2010
1224,95,47055
1225,73,28135
1226,96,48030
1227,67,23815
1228,69,25215
1229,53,15135
1230,87,39615
1231,39,8415
1232,52,14590
1233,50,13530
1234,71,26655
1235,5,255
1236,92,44190
1237,100,52030
1238,87,39615
1239,10,730
1240,98,50010
1241,85,37855
1242,49,13015
1243,67,23815
1244,48,12510
1245,45,11055
1246,87,39615
1247,26,3930
1248,67,23815
1249,28,4510
1250,44,10590
1251,22,2890
1252,76,30430
1253,22,2890
1254,87,39615
1255,77,31215
1256,88,40510
1257,80,33630
1258,44,10590
1259,26,3930
1260,84,36990
1261,19,2215
1262,86,38730
1263,35,6855
1264,24,3390
1265,75,29655
1266,22,2890
1267,72,27390
1268,58,18010
1269,48,12510
1270,83,36135
1271,3,135
1272,36,7230
1273,0,30
1274,29,4815
1275,51,14055
1276,35,6855
1277,63,21135
1278,49,13015
1279,77,31215
1280,20,2430
1281,31,5455
1282,51,14055
1283,13,1135
1284,48,12510
1285,28,4510
1286,64,21790
1287,35,6855
1288,80,33630
1289,67,23815
1290,57,17415
1291,70,25930
1292,16,1630
1293,87,39615
1294,15,1455
1295,8,510
1296,16,1630
1297,38,8010
1298,1,55
1299,66,23130
1300,6,330
1301,68,24510
1302,9,615
1303,27,4215
1304,38,8010
1305,57,17415
1306,90,42330
1307,97,49015
1308,35,6855
1309,24,3390
1310,53,15135
1311,12,990
1312,65,22455
1313,10,730
1314,42,9690
1315,20,2430
1316,37,7615
1317,29,4815
1318,88,40510
1319,14,1290
1320,58,18010
1321,45,11055
1322,51,14055
1323,56,16830
1324,53,15135
1325,56,16830
1326,92,44190
1327,72,27390
1328,17,1815
1329,60,19230
1330,78,32010
1331,45,11055
1332,30,5130
1333,94,46090
1334,34,6490
1335,69,25215
1336,20,2430
1337,90,42330
1338,85,37855
1339,32,5790
1340,10,730
1341,66,23130
1342,12,990
1343,70,25930
1344,48,12510
1345,18,2010
1346,54,15690
1347,23,3135
1348,67,23815
1349,77,31215
1350,62,20490
1351,5,255
1352,56,16830
1353,49,13015
1354,15,1455
1355,90,42330
1356,14,1290
1357,67,23815
1358,86,38730
1359,48,12510
1360,91,43255
1361,35,6855
1362,44,10590
1363,25,3655
1364,15,1455
1365,24,3390
1366,25,3655
1367,87,39615
1368,13,1135
1369,50,13530
1370,91,43255
1371,12,990
1372,7,415
1373,92,44190
1374,2,90
1375,4,190
1376,60,19230
1377,34,6490
1378,99,51015
1379,47,12015
1380,29,4815
1381,13,1135
1382,63,21135
1383,84,36990
1384,47,12015
1385,70,25930
1386,16,1630
1387,27,4215
1388,98,50010
1389,5,255
1390,95,47055
1391,37,7615
1392,12,990
1393,28,4510
1394,56,16830
1395,96,48030
1396,28,4510
1397,100,52030
1398,92,44190
1399,74,28890
1400,27,4215
1401,66,23130
1402,28,4510
1403,43,10135
1404,24,3390
1405,63,21135
1406,75,29655
1407,48,12510
1408,37,7615
1409,79,32815
1410,11,855
1411,28,4510
1412,37,7615
1413,9,615
1414,18,2010
1415,61,19855
1416,99,51015
1417,96,48030
1418,46,11530
1419,67,23815
1420,15,1455
1421,33,6135
1422,28,4510
1423,34,6490
1424,71,26655
1425,79,32815
1426,42,9690
1427,34,6490
1428,33,6135
1429,36,7230
1430,38,8010
1431,53,15135
1432,41,9255
1433,18,2010
1434,60,19230
1435,9,615
1436,71,26655
1437,74,28890
1438,54,15690
1439,24,3390
1440,69,25215
1441,63,21135
1442,79,32815
1443,78,32010
1444,13,1135
1445,45,11055
1446,78,32010
1447,46,11530
1448,58,18010
1449,68,24510
1450,6,330
1451,39,8415
1452,36,7230
1453,83,36135
1454,26,3930
1455,51,14055
1456,7,415
1457,45,11055
1458,43,10135
1459,51,14055
1460,28,4510
1461,48,12510
1462,85,37855
1463,90,42330
1464,20,2430
1465,96,48030
1466,47,12015
1467,62,20490
1468,98,50010
1469,65,22455
1470,31,5455
1471,37,7615
1472,26,3930
1473,0,30
1474,18,2010
1475,11,855
1476,82,35290
1477,72,27390
1478,64,21790
1479,20,2430
1480,0,30
1481,31,5455
1482,26,3930
1483,14,1290
1484,35,6855
1485,22,2890
1486,1,55
1487,78,32010
1488,6,330
1489,3,135
1490,20,2430
1491,37,7615
1492,40,8830
1493,85,37855
1494,2,90
1495,32,5790
1496,17,1815
1497,15,1455
1498,63,21135
1499,30,5130
1500,79,32815
1501,77,31215
1502,81,34455
1503,60,19230
1504,84,36990
1505,33,6135
1506,35,6855
1507,92,44190
1508,96,48030
1509,67,23815
1510,70,25930
1511,2,90
1512,53,15135
1513,13,1135
1514,84,36990
1515,26,3930
1516,72,27390
1517,25,3655
1518,75,29655
1519,12,990
1520,1,55
1521,11,855
1522,70,25930
1523,59,18615
1524,12,990
1525,94,46090
1526,56,16830
1527,66,23130
1528,87,39615
1529,30,5130
1530,66,23130
1531,34,6490
1532,60,19230
1533,2,90
1534,61,19855
1535,96,48030
1536,68,24510
1537,16,1630
1538,10,730
1539,84,36990
1540,90,42330
1541,99,51015
1542,63,21135
1543,18,2010
1544,59,18615
1545,24,3390
1546,3,135
1547,39,8415
1548,67,23815
1549,66,23130
1550,10,730
1551,17,1815
1552,75,29655
1553,69,25215
1554,16,1630
1555,77,31215
1556,51,14055
1557,18,2010
1558,81,34455
1559,50,13530
1560,47,12015
1561,68,24510
1562,28,4510
1563,93,45135
1564,43,10135
1565,30,5130
1566,95,47055
1567,93,45135
1568,58,18010
1569,53,15135
1570,48,12510
1571,94,46090
1572,71,26655
1573,43,10135
1574,21,2655
1575,48,12510
1576,24,3390
1577,62,20490
1578,22,2890
1579,46,11530
1580,64,21790
1581,37,7615
1582,21,2655
1583,38,8010
1584,74,28890
1585,92,44190
1586,69,25215
1587,94,46090
1588,67,23815
1589,69,25215
1590,53,15135
1591,49,13015
1592,95,47055
1593,44,10590
1594,35,6855
1595,94,46090
1596,43,10135
1597,71,26655
1598,10,730
1599,100,52030
1600,49,13015
1601,32,5790
1602,50,13530
1603,89,41415
1604,92,44190
1605,83,36135
1606,16,1630
1607,41,9255
1608,27,4215
1609,55,16255
1610,24,3390
1611,64,21790
1612,10,730
1613,74,28890
1614,52,14590
1615,31,5455
1616,23,3135
1617,37,7615
1618,34,6490
1619,2,90
1620,19,2215
1621,69,25215
1622,55,16255
1623,24,3390
1624,45,11055
1625,81,34455
1626,99,51015
1627,57,17415
1628,90,42330
1629,95,47055
1630,65,22455
1631,48,12510
1632,56,16830
1633,97,49015
1634,75,29655
1635,38,8010
1636,77,31215
1637,84,36990
1638,74,28890
1639,14,1290
1640,69,25215
1641,38,8010
1642,22,2890
1643,18,2010
1644,32,5790
1645,63,21135
1646,90,42330
1647,0,30
1648,64,21790
1649,61,19855
1650,18,2010
1651,82,35290
1652,27,4215
1653,29,4815
1654,54,15690
1655,28,4510
1656,93,45135
1657,59,18615
1658,2,90
1659,40,8830
1660,6,330
1661,90,42330
1662,77,31215
1663,65,22455
1664,21,2655
1665,69,25215
1666,5,255
1667,76,30430
1668,39,8415
1669,22,2890
1670,29,4815
1671,80,33630
1672,98,50010
1673,24,3390
1674,89,41415
1675,89,41415
1676,47,12015
1677,15,1455
1678,30,5130
1679,31,5455
1680,83,36135
1681,6,330
1682,94,46090
1683,66,23130
1684,99,51015
1685,65,22455
1686,30,5130
1687,20,2430
1688,94,46090
1689,88,40510
1690,55,16255
1691,10,730
1692,65,22455
1693,94,46090
1694,69,25215
1695,18,2010
1696,94,46090
1697,51,14055
1698,66,23130
1699,39,8415
1700,17,1815
1701,11,855
1702,81,34455
1703,12,990
1704,1,55
1705,16,1630
1706,29,4815
1707,88,40510
1708,59,18615
1709,25,3655
1710,23,3135
1711,100,52030
1712,90,42330
1713,92,44190
1714,29,4815
1715,52,14590
1716,79,32815
1717,5,255
1718,10,730
1719,76,30430
1720,12,990
1721,57,17415
1722,79,32815
1723,39,8415
1724,2,90
1725,97,49015
1726,61,19855
1727,59,18615
1728,55,16255
1729,58,18010
1730,63,21135
1731,49,13015
1732,33,6135
1733,22,2890
1734,72,27390
1735,57,17415
1736,83,36135
1737,99,51015
1738,97,49015
1739,46,11530
1740,27,4215
1741,96,48030
1742,58,18010
1743,29,4815
1744,54,15690
1745,55,16255
1746,77,31215
1747,52,14590
1748,29,4815
1749,36,7230
1750,52,14590
1751,69,25215
1752,58,18010
1753,22,2890
1754,33,6135
1755,62,20490
1756,47,12015
1757,54,15690
1758,18,2010
1759,62,20490
1760,100,52030
1761,27,4215
1762,63,21135
1763,21,2655
1764,29,4815
1765,56,16830
1766,61,19855
1767,22,2890
1768,16,1630
1769,100,52030
1770,20,2430
1771,66,23130
1772,63,21135
1773,49,13015
1774,70,25930
1775,50,13530
1776,87,39615
1777,89,41415
1778,43,10135
1779,83,36135
1780,1,55
1781,53,15135
1782,15,1455
1783,54,15690
1784,64,21790
1785,46,11530
1786,46,11530
1787,78,32010
1788,19,2215
1789,56,16830
1790,42,9690
1791,68,24510
1792,6,330
1793,81,34455
1794,89,41415
1795,87,39615
1796,28,4510
1797,71,26655
1798,7,415
1799,98,50010
1800,70,25930
1801,54,15690
1802,87,39615
1803,21,2655
1804,15,1455
1805,46,11530
1806,75,29655
1807,39,8415
1808,88,40510
1809,82,35290
1810,79,32815
1811,57,17415
1812,12,990
1813,46,11530
1814,3,135
1815,16,1630
1816,60,19230
1817,38,8010
1818,84,36990
1819,88,40510
1820,46,11530
1821,100,52030
1822,15,1455
1823,21,2655
1824,35,6855
1825,55,16255
1826,47,12015
1827,56,16830
1828,0,30
1829,71,26655
1830,17,1815
1831,20,2430
1832,38,8010
1833,1,55
1834,91,43255
1835,16,1630
1836,4,190
1837,16,1630
1838,100,52030
1839,13,1135
1840,26,3930
1841,48,12510
1842,37,7615
1843,42,9690
1844,57,17415
1845,71,26655
1846,22,2890
1847,27,4215
1848,65,22455
1849,17,1815
1850,48,12510
1851,72,27390
1852,25,3655
1853,0,30
1854,78,32010
1855,85,37855
1856,49,13015
1857,78,32010
1858,21,2655
1859,71,26655
1860,26,3930
1861,78,32010
1862,43,10135
1863,61,19855
1864,77,31215
1865,23,3135
1866,11,855
1867,26,3930
1868,66,23130
1869,44,10590
1870,87,39615
1871,87,39615
1872,34,6490
1873,94,46090
1874,71,26655
1875,14,1290
1876,7,415
1877,87,39615
1878,17,1815
1879,97,49015
1880,42,9690
1881,24,3390
1882,7,415
1883,19,2215
1884,75,29655
1885,79,32815
1886,72,27390
1887,30,5130
1888,66,23130
1889,79,32815
1890,31,5455
1891,18,2010
1892,9,615
1893,77,31215
1894,59,18615
1895,66,23130
1896,17,1815
1897,82,35290
1898,4,190
1899,69,25215
1900,99,51015
